python_skill,java_skill,sql_skill,tenth_percentage,twelfth_percentage,graduation_percentage,assessment_percentage,career
90,60,70,85,82,80,80,Python Developer
85,55,65,80,78,76,75,Python Developer
95,70,75,90,88,87,90,Python Developer
60,90,70,82,80,78,85,Java Developer
65,88,80,85,83,82,80,Java Developer
55,95,85,88,86,84,90,Data Analyst
60,70,92,80,84,85,85,Data Analyst
50,60,98,90,91,89,95,Data Analyst
90,85,95,92,90,94,95,Data Scientist
85,80,90,88,87,90,90,Data Scientist
95,90,98,95,93,96,100,Data Scientist
70,75,65,75,80,79,75,Web Developer
75,70,60,82,81,80,80,Web Developer
65,80,70,85,83,82,85,Web Developer
